Video_id,Category_id,Title,Description,url_default,Channel_id,Publish_time
oA7cmcnVcBo,27,Live trading Banknifty  nifty Options  | | Nifty Prediction live || Wealth Secret,livetrading #livebanknifty 🔔🔔🔔 Best Brokers 🔔🔔🔔 👉 Free Premium Tradingview charts on Dhan ...,https://i.ytimg.com/vi/oA7cmcnVcBo/default_live.jpg,UCBKVf2eWgShfOmW04Okafcw,2024-04-10T02:52:05Z
UozN6TsB7Wk,27,How to WIN,Watch the FULL conversation here: https://youtu.be/aeTexNj9nPg?si=zCBi9SjK_77FPbvB ▻▻Ask Rabbi Manis Friedman Your ...,https://i.ytimg.com/vi/UozN6TsB7Wk/default.jpg,UCnkB28NTo_OxXTYjCUv7m5Q,2024-04-09T10:30:10Z
YuTQBmb5oAM,27,How To Date Someone With Anxiety,"Are you dating someone with anxiety and looking for some guidance? Well, you're in luck! Today, we will be talking about ...",https://i.ytimg.com/vi/YuTQBmb5oAM/default.jpg,UCkJEpR7JmS36tajD34Gp4VA,2024-04-09T16:52:36Z
6gWUxD-LcAg,27,How To Find Purpose and Meaning | The Bedros Keuilian Show E080,"In this episode of the Bedros Keuilian Show, I share how to find the answer to these two questions that can keep you up at night.",https://i.ytimg.com/vi/6gWUxD-LcAg/default.jpg,UC6UznTeISwn81w5Bt6P_Kxg,2024-04-09T13:00:10Z
oLS7QNUXXtA,27,How to Get Rich for Introverts,FREE YouTube Crash Course For Introverts: https://noahkagan.com/INTROVERTS/ Ready to shatter the myth that extroverts rule ...,https://i.ytimg.com/vi/oLS7QNUXXtA/default.jpg,UCF2v8v8te3_u4xhIQ8tGy1g,2024-04-08T14:00:40Z
8gR92oFcJTo,27,Secret Strategies to Boost Your YouTube Shorts | How To Viral YouTube Shorts,Secret Strategies to Boost Your YouTube Shorts | How To Viral YouTube Shorts | How to Make Your YouTube Shorts Viral in 2024 ...,https://i.ytimg.com/vi/8gR92oFcJTo/default.jpg,UCf3dc-Y3k5vBTCVpPCAfG6g,2024-04-09T12:30:05Z
xo7J0O3ezrk,27,How to say the days of the week correctly in English,"Do you pronounce *Wednesday* correctly? Many people around the world do not! In this important lesson, you will learn how to ...",https://i.ytimg.com/vi/xo7J0O3ezrk/default.jpg,UCJtBaL1PPmTc1ff0nsihR0g,2024-04-09T01:20:03Z
8kY8SNYBWwU,27,How to Play YouTube Videos Faster,Join my Discord server: https://discord.gg/gohar 📝 I'll edit your college essay: https://nextadmit.com/services/essay/ 🎓 Get into ...,https://i.ytimg.com/vi/8kY8SNYBWwU/default.jpg,UCPk2s5c4R_d-EUUNvFFODoA,2024-04-03T01:02:44Z
Tamwpu4FSEs,27,How to Nail Your College Essay,I'll edit your college essay! 📝 https://nextadmit.com.,https://i.ytimg.com/vi/Tamwpu4FSEs/default.jpg,UCPk2s5c4R_d-EUUNvFFODoA,2021-09-14T01:11:19Z
NfoocYAuZN0,27,How To Build An Online Community (Complete Guide w/ Tom Ross),"Building an online community can be challenging, but with the right strategies, your community platform can thrive. This video ...",https://i.ytimg.com/vi/NfoocYAuZN0/default.jpg,UC-b3c7kxa5vU-bnmaROgvog,2024-04-09T14:15:02Z
FplJGbt6Iys,27,Learning How to Learn,"Alux Answers: ""Learning How to Learn"" SUBSCRIBE to ALUX: https://www.youtube.com/channel/UCNjP... Get the free audiobook: ...",https://i.ytimg.com/vi/FplJGbt6Iys/default.jpg,UCNjPtOCvMrKY5eLwr_-7eUg,2018-12-24T17:42:37Z
kq8cM-Xgb1M,27,IDIOT GETS KARMA --- Bad drivers &amp; Driving fails -learn how to drive #1103,ALL VIDEOS ARE USED WITH OWNERS PERMISSION All footage is Edited and I add a storyline and my commentary. This is ...,https://i.ytimg.com/vi/kq8cM-Xgb1M/default.jpg,UC8FpG11hqfqr8n9a9LcxKzA,2024-04-09T23:12:23Z
thEyhUGNL1U,27,How To Crack SSC CHSL 2024 | SSC CHSL 60 Days Master Plan | SSC CHSL Strategy 2024 | SSC CHSL 2024,HOW TO CRACK SSC CHSL 2024 | SSC CHSL 60 DAYS MASTER PLAN | SSC CHSL STRATEGY 2024 | SSC CHSL 2024 | SSC ...,https://i.ytimg.com/vi/thEyhUGNL1U/default.jpg,UCcaEVV7A47J4k9GFcqOOYkg,2024-04-09T11:29:26Z
ZdS3Jty__tA,27,Modal Verbs | How To Use Modal Verbs in English,"Today you'll learn how to use modal verbs in English. You'll learn how to use must, might, may, can, could, would, will, should and ...",https://i.ytimg.com/vi/ZdS3Jty__tA/default.jpg,UCLNBasuHKOILIwewAetJO6g,2024-04-09T12:00:37Z
