Video_id,Category_id,Title,Description,url_default,Channel_id,Publish_time
xo7J0O3ezrk,27,How to say the days of the week correctly in English,"Do you pronounce *Wednesday* correctly? Many people around the world do not! In this important lesson, you will learn how to ...",https://i.ytimg.com/vi/xo7J0O3ezrk/default.jpg,UCJtBaL1PPmTc1ff0nsihR0g,2024-04-09T01:20:03Z
xf8GOrGurOg,27,1xbet promo code | how to create 1xbet affiliate promo code | #1xbetpromocode |,1xbet promo code | how to create 1xbet affiliate promo code | #1xbetpromocode | 1xbet promo code: HA75 #1xbet_promo_code ...,https://i.ytimg.com/vi/xf8GOrGurOg/default.jpg,UCdRINGY9j8XhYkoXQKlUz5Q,2024-04-09T09:42:57Z
oLS7QNUXXtA,27,How to Get Rich for Introverts,FREE YouTube Crash Course For Introverts: https://noahkagan.com/INTROVERTS/ Ready to shatter the myth that extroverts rule ...,https://i.ytimg.com/vi/oLS7QNUXXtA/default.jpg,UCF2v8v8te3_u4xhIQ8tGy1g,2024-04-08T14:00:40Z
UozN6TsB7Wk,27,How to WIN,Watch the FULL conversation here: https://youtu.be/aeTexNj9nPg?si=zCBi9SjK_77FPbvB ▻▻Ask Rabbi Manis Friedman Your ...,https://i.ytimg.com/vi/UozN6TsB7Wk/default.jpg,UCnkB28NTo_OxXTYjCUv7m5Q,2024-04-09T10:30:10Z
-1DYsiKC7b4,27,First Sentences for Toddlers | Learn to Talk | Toddler Speech Delay | Speech Practice Video English,This educational video teaches the most common and useful first sentences and phrases for toddlers! Have your child learn to talk ...,https://i.ytimg.com/vi/-1DYsiKC7b4/default.jpg,UCG2CL6EUjG8TVT1Tpl9nJdg,2021-07-28T17:24:32Z
8kY8SNYBWwU,27,How to Play YouTube Videos Faster,Join my Discord server: https://discord.gg/gohar 📝 I'll edit your college essay: https://nextadmit.com/services/essay/ 🎓 Get into ...,https://i.ytimg.com/vi/8kY8SNYBWwU/default.jpg,UCPk2s5c4R_d-EUUNvFFODoA,2024-04-03T01:02:44Z
Ou3eB5QWGtA,27,1xbet promo code | how to create 1xbet affiliate promo code | #1xbetpromocode |,1xbet promo code | how to create 1xbet affiliate promo code | #1xbetpromocode | 1xbet promo code: HA75 #1xbet_promo_code ...,https://i.ytimg.com/vi/Ou3eB5QWGtA/default.jpg,UCdRINGY9j8XhYkoXQKlUz5Q,2024-04-09T15:38:54Z
8klAQDU82tQ,27,How to Tell a New Job About a Vacation 😅✨✈️ #careeradvice,,https://i.ytimg.com/vi/8klAQDU82tQ/default.jpg,UCGetiqFX7l-8unkK1LyrG3A,2024-04-02T23:14:28Z
d0yGdNEWdn0,27,How to learn any language in six months | Chris Lonsdale | TEDxLingnanUniversity,Never miss a talk! SUBSCRIBE to the TEDx channel: http://bit.ly/1FAg8hB Chris Lonsdale is Managing Director of Chris Lonsdale ...,https://i.ytimg.com/vi/d0yGdNEWdn0/default.jpg,UCsT0YIqwnpJCM-mx7-gSA4Q,2013-11-20T23:15:30Z
8gR92oFcJTo,27,Secret Strategies to Boost Your YouTube Shorts | How To Viral YouTube Shorts,Secret Strategies to Boost Your YouTube Shorts | How To Viral YouTube Shorts | How to Make Your YouTube Shorts Viral in 2024 ...,https://i.ytimg.com/vi/8gR92oFcJTo/default.jpg,UCf3dc-Y3k5vBTCVpPCAfG6g,2024-04-09T12:30:05Z
uFk0mgljtns,27,How to Make a Kurzgesagt Video in 1200 Hours,Get Merch designed with ❤ from https://kgs.link/shop-118 Join the Patreon Bird Army 🐧 https://kgs.link/patreon ▽▽ More infos ...,https://i.ytimg.com/vi/uFk0mgljtns/default.jpg,UCsXVk37bltHxD1rDPwtNM8Q,2020-02-16T13:29:44Z
FplJGbt6Iys,27,Learning How to Learn,"Alux Answers: ""Learning How to Learn"" SUBSCRIBE to ALUX: https://www.youtube.com/channel/UCNjP... Get the free audiobook: ...",https://i.ytimg.com/vi/FplJGbt6Iys/default.jpg,UCNjPtOCvMrKY5eLwr_-7eUg,2018-12-24T17:42:37Z
BV5ckMNNvi4,27,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,I was promoted fairly quickly over my career and I want to let you in on how I was able to do that. In this video I walk through the ...,https://i.ytimg.com/vi/BV5ckMNNvi4/default.jpg,UC7cs8q-gJRlGwj4A8OmCmXg,2024-04-09T12:00:08Z
ZdS3Jty__tA,27,Modal Verbs | How To Use Modal Verbs in English,"Today you'll learn how to use modal verbs in English. You'll learn how to use must, might, may, can, could, would, will, should and ...",https://i.ytimg.com/vi/ZdS3Jty__tA/default.jpg,UCLNBasuHKOILIwewAetJO6g,2024-04-09T12:00:37Z
ZcZTz4T1Bhs,27,How to Study at the Last Minute,Get into your dream school: https://nextadmit.com/roadmap/,https://i.ytimg.com/vi/ZcZTz4T1Bhs/default.jpg,UCPk2s5c4R_d-EUUNvFFODoA,2022-03-29T05:33:23Z
xMa5gsmZwHs,27,How To Draw An Easter Bunny Folding Surprise,"Today, Austin and I are learning how to draw an Easter Bunny folding surprise! Join our monthly membership and download our ...",https://i.ytimg.com/vi/xMa5gsmZwHs/default.jpg,UC5XMF3Inoi8R9nSI8ChOsdQ,2020-03-25T15:47:57Z
fm15cmYU0IM,27,How to Bullet Journal,"Hi, let me give you a brief overview of a method I invented that will help you track the past, organize the present, and plan for the ...",https://i.ytimg.com/vi/fm15cmYU0IM/default.jpg,UCt3B6rUXb__X2eMyY7jzgIg,2015-05-21T12:24:53Z
gmm2b0KFg9g,27,How I Learn Languages | 8 Tips for Success,Sign up for free on italki today: https://go.italki.com/bella App: https://italki.app.link/bella Kids Learning: ...,https://i.ytimg.com/vi/gmm2b0KFg9g/default.jpg,UC5R7KvzToSrlR8cas9b9kgA,2022-06-16T11:00:32Z
HZa8nkPclCE,27,SHE WAS EXTREMELY LUCKY --- Bad drivers &amp; Driving fails -learn how to drive #1102,ALL VIDEOS ARE USED WITH OWNERS PERMISSION All footage is Edited and I add a storyline and my commentary. This is ...,https://i.ytimg.com/vi/HZa8nkPclCE/default.jpg,UC8FpG11hqfqr8n9a9LcxKzA,2024-04-08T21:41:32Z
uKigm4NP7ko,27,How to Cope When Everything&#39;s Awful and You&#39;re Not Okay,Sometimes everything is awful and you're not okay. That's okay. Here's how to cope. A self-care checklist. The one I go through ...,https://i.ytimg.com/vi/uKigm4NP7ko/default.jpg,UC-nPM1_kSZf91ZGkcgy_95Q,2017-02-23T18:00:03Z
zRrxelUjp7Q,27,How To Draw Best Friends,"Happy Friday, Art-Friends! Today, we're learning how to draw best friends! This is a fun lesson to personalize. You can change the ...",https://i.ytimg.com/vi/zRrxelUjp7Q/default.jpg,UC5XMF3Inoi8R9nSI8ChOsdQ,2020-01-17T16:02:57Z
SJcJGh2CJlc,27,Lao Tzu - How To Effortlessly Build Your Self Discipline (Taoism),In this video we will talk about how to effortlessly build your self discipline from the philosophy of Lao Tzu. Lao Tzu was an ancient ...,https://i.ytimg.com/vi/SJcJGh2CJlc/default.jpg,UCp1mRTkVlqDnxz_9S0YD9YQ,2024-04-08T17:00:16Z
adve7GEXwPo,27,How To Draw A Cartoon Poodle,"Learn how to draw a cute cartoon poodle! For this lesson, you only need a marker, paper, and a pink colored pencil. Become an ...",https://i.ytimg.com/vi/adve7GEXwPo/default.jpg,UC5XMF3Inoi8R9nSI8ChOsdQ,2017-02-24T19:13:34Z
awa4z2fFn7A,27,How to use the ApneaLink™ Air Home Sleep Testing Device,"This video explains the entire home sleep testing process, from start to finish, with ApneaLink Air from ResMed. It demonstrates ...",https://i.ytimg.com/vi/awa4z2fFn7A/default.jpg,UCwjFC_AikD4--KeVnU7mbJg,2014-02-03T15:16:00Z
PIivG4vwjZk,27,How To Detach Yourself From Someone You Love,"If you're struggling to detach from someone you love, whether it's a partner, friend, or family member, here are a few effective ...",https://i.ytimg.com/vi/PIivG4vwjZk/default.jpg,UCkJEpR7JmS36tajD34Gp4VA,2024-04-05T12:00:19Z
veriqDHLXsw,27,How to Find Fulfilling Work,"The key to finding fulfilling work is to think a lot, analyse one's fears, understand the market, reflect on capitalism. Enjoying our ...",https://i.ytimg.com/vi/veriqDHLXsw/default.jpg,UC7IcJI8PUf5Z3zKxnZvTBog,2015-01-19T12:15:13Z
A0BzW_F9rYs,27,How to Stand Out to the Ivy League,I'll edit your college essay! 📝 https://nextadmit.com.,https://i.ytimg.com/vi/A0BzW_F9rYs/default.jpg,UCPk2s5c4R_d-EUUNvFFODoA,2021-11-10T05:12:41Z
yxg8UeiUnZ0,27,How To Get 1000 Subscribers on YouTube in 7 Minutes (2024 Update),If you want to get 1000 subscribers on YouTube you need to implement the 5 steps that I share with you in this video. Essentially ...,https://i.ytimg.com/vi/yxg8UeiUnZ0/default.jpg,UCuR8L5fK6ZXyApcL7vMcv0g,2024-04-08T14:09:19Z
tz7zxh9Bfow,27,How to Test Your Emotional Maturity,Knowing how emotionally mature someone is can be the most important thing to know about them; but this knowledge may take ...,https://i.ytimg.com/vi/tz7zxh9Bfow/default.jpg,UC7IcJI8PUf5Z3zKxnZvTBog,2019-11-13T14:00:18Z
